ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),State,Total Towers(Present),Total Towers(before 5 years)
20400,Jio,LTower, 531.00 ,Sparrow,60,Andhra Pradesh,866,243
20401,Jio,MTower, 702.00 ,Bulbul,34,Arunachal Pradesh,848,59
20402,Airtel,GTower, 513.00 ,Kite,73,Assam,305,247
20403,BSNL,LTower, 792.00 ,Spotted Dove,40,Bihar,884,222
20404,Vodafone,GTower, 643.00 ,Bulbul,75,Chhattisgarh,345,112
20405,Idea,LTower, 776.00 ,Kite,30,Goa,604,195
20406,BSNL,MTower, 422.00 ,Spotted Dove,80,Gujarat,245,282
20407,Jio,LTower, 676.00 ,Sparrow,62,Haryana,382,270
20408,Airtel,GTower, 508.00 ,Sparrow,35,Himachal Pradesh,443,250
20409,Vodafone,GTower, 372.00 ,Bulbul,38,Jharkhand,619,107
20410,BSNL,MTower, 565.00 ,Kite,60,Karnataka,531,78
20411,Idea,LTower, 849.00 ,Bulbul,65,Kerala,478,68
20412,Jio,MTower, 822.00 ,Sparrow,79,Madhya Pradesh,829,175
20413,Jio,GTower, 423.00 ,Spotted Dove,22,Maharashtra,150,256
20414,Airtel,LTower, 676.00 ,Kite,24,Manipur,221,145
20415,BSNL,MTower, 473.00 ,Bulbul,40,Meghalaya,829,172
20416,Vodafone,GTower, 804.00 ,Sparrow,25,Mizoram,835,163
20417,Idea,LTower, 583.00 ,Spotted Dove,79,Nagaland,557,65
20418,BSNL,GTower, 511.00 ,Bulbul,65,Odisha,422,138
20419,Jio,LTower, 700.00 ,Kite,59,Punjab,126,274
20420,Airtel,MTower, 332.00 ,Sparrow,61,Rajasthan,729,229
20421,Vodafone,LTower, 589.00 ,Spotted Dove,37,Sikkim,450,220
20422,BSNL,GTower, 654.00 ,Kite,63,Tamil Nadu,386,110
20423,Idea,GTower, 640.00 ,Bulbul,35,Telangana,394,267
20424,Jio,MTower, 658.00 ,Sparrow,25,Tripura,463,92
20425,Jio,LTower, 652.00 ,Bulbul,76,Uttarakhand,141,82
20426,Airtel,MTower, 801.00 ,Kite,49,Uttar Pradesh,472,216
20427,BSNL,GTower, 362.00 ,Spotted Dove,73,West Bengal,193,54
20428,Vodafone,LTower, 498.00 ,Bulbul,32,Andhra Pradesh,685,290
20429,Idea,MTower, 425.00 ,Kite,43,Arunachal Pradesh,509,56
20430,BSNL,GTower, 664.00 ,Spotted Dove,58,Assam,794,191
20431,Jio,LTower, 625.00 ,Sparrow,24,Bihar,246,265
20432,Airtel,GTower, 456.00 ,Sparrow,59,Chhattisgarh,781,75
20433,Vodafone,LTower, 536.00 ,Bulbul,73,Goa,120,266
20434,BSNL,MTower, 381.00 ,Kite,23,Gujarat,201,55
20435,Idea,LTower, 743.00 ,Bulbul,62,Haryana,203,133
20436,Jio,GTower, 840.00 ,Sparrow,63,Himachal Pradesh,167,216
20437,Jio,GTower, 647.00 ,Spotted Dove,43,Jharkhand,145,209
20438,Airtel,MTower, 684.00 ,Kite,57,Karnataka,333,270
20439,BSNL,LTower, 688.00 ,Bulbul,74,Kerala,262,174
20440,Vodafone,MTower, 665.00 ,Sparrow,52,Madhya Pradesh,675,154
20441,Idea,GTower, 711.00 ,Spotted Dove,43,Maharashtra,634,102
20442,BSNL,LTower, 742.00 ,Bulbul,74,Manipur,141,178
20443,Jio,MTower, 802.00 ,Kite,31,Meghalaya,849,51
20444,Airtel,GTower, 550.00 ,Sparrow,59,Mizoram,845,50
